person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Crina Ioniță,crinaioniță,crinaioniță@post.ro,1890104351660,1997-12-29,"Soseaua Sanda Tudor Nr. 83, Feldru, 742060",0231 401 097,de:60:e6:7f:13:af,170.224.2.226,RO97FJEN0674586825945416,2025-04-08 17:27:35,25818,16,63,1960290,80e3e59e-058a-473a-a700-e2b70ad9c2fd
Virginia Dochioiu,virginiadochioiu,virginiadochioiu@gmail.com,7840823516524,1909-05-20,"Drumul Aanei Nr. 11, Targu Frumos, 612101",0727 558 236,84:e3:93:7d:08:40,164.37.240.160,RO97VPEG8656662205299235,2025-04-08 17:27:35,17935,743,719,1534196,415d2e5a-8d36-44e1-ac16-59a55c5c6ed1
Dragoș Marin,dragoșmarin,dragoșmarin@gmail.com,6250729523391,1974-12-05,"Aleea Popa, Fagetel (Remetea), 240625",0771 404 199,ea:ac:62:30:6b:b3,179.101.195.233,RO12EKTO0356824112104895,2025-04-08 17:27:35,11259,827,112,847116,ce1c7573-7bf0-4859-a489-a161a8258c87
Marga Eftimie,margaeftimie,margaeftimie@email.ro,6740622286515,1995-10-24,"Soseaua Maximilian Popa Nr. 570, Slobozia, 567167",0266 913 936,4c:b1:66:7f:92:ec,102.118.202.183,RO30HIHD0132567456070482,2025-04-08 17:27:35,14599,971,17,424367,e81f780e-0084-4e21-a18b-f26bdfd77d31
Grațiela Stan,grațielastan,grațielastan@zzup.ro,1541226453643,1977-01-13,"Strada Ionescu, Ramnicu Valcea, 723215",0760 544 204,5a:f0:66:63:d3:01,8.224.95.232,RO65FWJV8883110380464948,2025-04-08 17:27:35,22271,265,421,1489611,7b3d29f4-f389-494e-9e9d-da589c5608da
Irinel Mazilescu,irinelmazilescu,irinelmazilescu@kappa.ro,1500422060252,1967-03-02,"Strada Ardelean Nr. 68 Bl. 20  Sc. 32 Ap. 997, Cluj-Napoca, 120898",0747 953 932,da:dc:a6:1b:7f:a8,45.48.147.27,RO49YOOV0804972181939878,2025-04-08 17:27:35,34072,998,783,868664,2c01b258-fd44-4f63-bc4c-94cf5676a09c
Vlad Ardelean,vladardelean,vladardelean@post.ro,5800514382852,1951-07-30,"Soseaua Ioniță Nr. 35 Bl. 41  Sc. 83 Ap. 909, Campulung Moldovenesc, 808019",0753 278 750,88:5e:82:94:e4:22,85.25.195.121,RO46GKVU7784471050499358,2025-04-08 17:27:35,32875,741,476,154171,8ac3c32f-51f6-48d1-812a-c45df7c9e300
Varvara Dumitrescu,varvaradumitrescu,varvaradumitrescu@acasa.ro,8491204401177,1926-12-16,"Strada Stoica, Paunesti, 490424",0268 830 989,e4:0f:59:ba:d9:4f,143.99.5.233,RO48FJMP7955741160258477,2025-04-08 17:27:35,25097,36,21,1729752,c564cc19-ef2f-48e7-9664-395074e13f5b
Sânziana Diaconescu,sânzianadiaconescu,sânzianadiaconescu@kappa.ro,2760222079148,1962-02-13,"Aleea Albu Nr. 48 Bl. 38  Sc. 48 Ap. 102, Strehaia, 328030",0780 733 371,b0:c9:42:b3:36:fe,155.91.124.87,RO64RKTV3424975738961105,2025-04-08 17:27:35,25898,492,254,999906,343de83e-6bb4-4952-9899-6442e65c9b9c
Olivia Popa,oliviapopa,oliviapopa@gmail.com,4600525447471,2013-12-08,"Intrarea Diaconu Nr. 70 Bl. 87  Sc. 46 Ap. 766, Targu Secuiesc, 438181",0769 037 965,50:ab:55:eb:8f:ab,180.106.129.4,RO10ZDAF9327479948134617,2025-04-08 17:27:35,14099,851,280,318579,b86058b6-cb67-4fbc-af16-a7bb1a9ac243
Gina Ioniță,ginaioniță,ginaioniță@zzup.ro,7420818408995,2013-10-15,"Aleea Ardelean, Dragalina, 266761",0768 317 087,2c:8c:43:c8:35:51,5.61.214.153,RO59IIWM1436694002745072,2025-04-08 17:27:35,11295,420,442,1517382,9c40a743-8b3a-4632-a8fc-104e56af52fc
Iustina Suciu,iustinasuciu,iustinasuciu@gmail.com,2930722248377,1939-04-08,"Soseaua Zenovia Preda Nr. 96, Straja, 183096",0760 837 308,30:d7:57:20:eb:00,25.107.92.68,RO65ALZD6061527620251554,2025-04-08 17:27:35,32973,115,199,1108200,ed17759f-12a2-4db5-b9d7-4a27e9e75e4d
Salomea Niță,salomeaniță,salomeaniță@zzup.ro,4920114394120,1961-05-22,"Aleea Albu, Jimbolia, 800766",0732 821 523,ae:e8:0b:45:7e:84,42.196.45.62,RO42APMN4843248901536657,2025-04-08 17:27:35,10348,86,791,1901730,f52c54db-f5d1-45b0-8d73-1f22be1e5dfc
Aglaia Barbu,aglaiabarbu,aglaiabarbu@post.ro,6580825443435,1945-11-29,"Strada Oprea Nr. 868 Bl. 45  Sc. 71 Ap. 958, Valea Mare (Babeni), 573738",0254 414 697,e2:63:09:03:dc:b4,44.147.115.189,RO23XWZE7990169904179585,2025-04-08 17:27:35,20065,439,101,731860,8078d998-b91b-4fd1-9a51-7c9f31f7771f
Ludmila Stănescu,ludmilastănescu,ludmilastănescu@zzup.ro,2290312418096,1945-08-09,"Bulevardul Ioniță, Piatra-Neamt, 836183",0243 006 647,ce:a6:55:1c:5d:2f,71.75.121.30,RO56KUHI7327806110734927,2025-04-08 17:27:35,25854,46,325,1493743,985bfb36-cf09-4ecb-a09c-7953960d8109
Bernard Georgescu,bernardgeorgescu,bernardgeorgescu@post.ro,3400918332916,2024-12-12,"Aleea Sonia Ionescu Nr. 170 Bl. 55  Sc. 25 Ap. 392, Zarnesti, 720469",0729 563 270,9e:54:5c:8a:b5:da,41.227.119.165,RO86DGHQ0466802332926295,2025-04-08 17:27:35,3541,914,156,880042,d61bbe59-c57f-4fd1-b099-ad727eb5538c
Ludmila Tabacu,ludmilatabacu,ludmilatabacu@acasa.ro,8930801148998,1985-03-05,"Strada Tabacu, Bocsa, 644488",0262 996 710,12:1a:b0:38:ef:8c,24.17.233.166,RO85ZRMH1832134539141255,2025-04-08 17:27:35,3313,771,621,1700660,b19f3d5e-a6fb-4fcf-bf4c-ec816a1ad2bc
Anghel Preda,anghelpreda,anghelpreda@gmail.com,5810226308167,2000-11-23,"Intrarea Dochioiu Nr. 948, Babeni, 523808",0244 391 928,ec:16:2a:cc:8a:01,1.228.52.140,RO67IHUY2067551361316562,2025-04-08 17:27:35,28990,341,438,284971,50abe79e-8e9c-4a8d-ab79-15693ed449bc
Sandu Diaconu,sandudiaconu,sandudiaconu@gmail.com,4390611332595,1985-12-22,"Strada Florea Nr. 70, Fundulea, 118164",0242 729 184,3a:3c:bc:8f:62:8e,61.31.164.244,RO37JDXI0346829386456970,2025-04-08 17:27:35,23364,493,798,770783,e692e2d1-6101-4598-aed9-5ef808e51df4
Izabela Dochioiu,izabeladochioiu,izabeladochioiu@gmail.com,2800817454131,2023-11-02,"Intrarea Ababei Nr. 67, Buzau, 404388",0740 443 334,08:a4:d9:79:75:03,145.117.243.194,RO57XKJG1840497000600360,2025-04-08 17:27:35,22398,181,636,246556,b95fa1cf-cde0-42dc-99ea-67d9f63116d6
Paula Tudor,paulatudor,paulatudor@acasa.ro,4701026064255,1968-01-19,"Drumul Stan Nr. 474, Gugesti, 395655",0267 005 710,4a:73:13:24:e5:0a,76.137.221.172,RO30CNQB7555232166141040,2025-04-08 17:27:35,35791,587,423,301078,687a44de-4b03-4470-b412-20df59c0fab0
Floarea Ioniță,floareaioniță,floareaioniță@kappa.ro,6321004434091,1988-06-22,"Aleea Tudor Nr. 30, Pantelimon, 267411",0247 174 394,3e:53:ad:4c:43:bb,78.197.25.247,RO92KVWL8509683457410281,2025-04-08 17:27:35,34913,667,77,845898,e8bd43e0-2432-4926-8da8-dc10c00dc8cc
Sava Stoica,savastoica,savastoica@kappa.ro,2900328320863,2019-07-19,"Drumul Bernard Manole Nr. 247 Bl. 60  Sc. 64 Ap. 800, Calarasi, 829339",0744 167 656,ce:ce:9e:e7:68:b6,11.80.108.182,RO64JWPM1382952689803357,2025-04-08 17:27:35,5688,608,782,1879502,eff61827-e422-489d-b72e-44cc1e599295
Cătălina Pușcașu,cătălinapușcașu,cătălinapușcașu@gmail.com,2731025524556,2006-05-12,"Bulevardul Manole Nr. 51, Orsova, 561224",0268 012 630,fc:59:25:d5:d9:67,89.164.66.117,RO07BISF1809554579853207,2025-04-08 17:27:35,31261,36,25,672034,c943ca17-5aef-4224-bbbf-3d43dd09fd29
Ligia Manole,ligiamanole,ligiamanole@141.ro,5580519309793,1926-12-01,"Soseaua Tudor, Raducaneni, 145292",0233 476 635,b6:9d:1e:32:65:10,106.151.127.211,RO15XNMH5936974218799300,2025-04-08 17:27:35,5809,949,39,996030,94fe33fa-929b-4fa8-8677-4f21c6e4b225
Aurelia Ababei,aureliaababei,aureliaababei@acasa.ro,8190623249731,1961-07-02,"Strada Nistor Nr. 91 Bl. 87  Sc. 94 Ap. 953, Intorsura Buzaului, 781154",0767 515 804,48:80:58:3c:95:79,206.252.36.78,RO74VKKV6165521511237757,2025-04-08 17:27:35,31296,503,4,1337250,99664f32-dc0c-4415-8980-58530a19ad72
Andra Mazilescu,andramazilescu,andramazilescu@post.ro,2850329524461,2022-01-03,"Strada Suciu, Mioveni, 624225",0253 186 762,9c:57:41:8c:33:ac,60.216.17.232,RO20PUSQ6212280251632403,2025-04-08 17:27:35,21384,834,406,37794,d83a1dfc-7817-4bd9-99d0-17537921eb10
Mirabela Nistor,mirabelanistor,mirabelanistor@zzup.ro,1641026116127,1960-03-04,"Drumul Alexandru Dochioiu Nr. 63 Bl. 74  Sc. 32 Ap. 960, Branesti, 858506",0755 157 994,72:c7:4b:90:ff:79,115.208.241.221,RO80BLDT5622828818404580,2025-04-08 17:27:35,21341,570,672,1757727,e8225128-ca2d-4d38-b5a7-9d7e1dced9e5
Romina Tudor,rominatudor,rominatudor@zzup.ro,4850621037616,1947-11-23,"Aleea Ioanina Pușcașu Nr. 36 Bl. 83  Sc. 23 Ap. 357, Targu Lapus, 414790",0232 984 363,b6:81:06:c9:60:fb,151.39.130.167,RO80JOLA6547007976055814,2025-04-08 17:27:35,34497,444,328,942768,d8a16917-4773-474f-87ee-d10df5fe2e2e
Mioara Florea,mioaraflorea,mioaraflorea@gmail.com,5340526400582,1979-02-08,"Aleea Dobre Nr. 26, Sighetu Marmatiei, 399963",0742 104 296,b8:88:dc:0c:b8:b1,93.54.94.80,RO49VWPI4578882727898008,2025-04-08 17:27:35,19665,588,44,97465,05b533d8-ad3b-45e5-a194-b42e9737b5f4
Anabela Stancu,anabelastancu,anabelastancu@kappa.ro,8120407077232,1920-05-04,"Aleea Aristide Georgescu Nr. 66 Bl. 10  Sc. 67 Ap. 441, Sighisoara, 265114",0771 453 993,8c:4f:07:74:2e:ec,222.118.137.191,RO27GDKK3520065315669473,2025-04-08 17:27:35,32185,430,568,41436,c657408b-1567-4bff-a127-9cad6f17471a
Severina Eftimie,severinaeftimie,severinaeftimie@zzup.ro,4971208207354,1928-10-29,"Bulevardul Dinu Nr. 96, Moldova Veche, 723693",0725 880 260,82:19:94:47:d1:3c,163.232.62.122,RO28NEVS8728736044377285,2025-04-08 17:27:35,26467,213,333,69338,8050e88a-8a0f-475a-bd87-7cc34144d087
Julieta Nistor,julietanistor,julietanistor@email.ro,5320209463733,1990-12-09,"Soseaua Marin, Copsa Mica, 735445",0751 996 672,3c:c5:70:12:4e:c3,114.30.77.192,RO21HECU1796732073571336,2025-04-08 17:27:35,18004,374,19,68824,83f4f4b4-6633-413b-bbef-c680db708226
Pompiliu Ioniță,pompiliuioniță,pompiliuioniță@zzup.ro,2640327051848,1953-08-11,"Soseaua Dochioiu Nr. 845 Bl. 24  Sc. 47 Ap. 276, Mangalia, 295053",0249 829 617,40:d8:5f:53:5e:74,119.11.207.25,RO18IQRO2460482506516548,2025-04-08 17:27:35,15450,702,571,1420947,8ab8da6d-1778-4021-9388-802dbc48d7f6
Filofteia Mocanu,filofteiamocanu,filofteiamocanu@acasa.ro,1211115171151,2016-04-11,"Soseaua Ardelean, Jilava, 278115",0753 512 515,2a:f6:dc:79:15:66,37.33.98.199,RO56CGFS8693280333630770,2025-04-08 17:27:35,25839,925,427,559999,c5aeaed6-0d5b-4fc0-8597-4a04cc495e03
Eufrosina Diaconu,eufrosinadiaconu,eufrosinadiaconu@post.ro,6990419150307,1993-02-20,"Soseaua Voinea Nr. 889 Bl. 60  Sc. 97 Ap. 494, Ocna Mures, 901489",0722 387 253,78:c6:4e:bf:35:a9,210.55.147.75,RO98NQOU2937498082916607,2025-04-08 17:27:35,34820,597,629,1206530,1545c47d-8620-4147-bcc6-f97e16a91f8b
Lucia Florea,luciaflorea,luciaflorea@141.ro,7380812287067,1961-11-30,"Bulevardul Ababei Nr. 256, Covasna, 764840",0761 368 679,3a:ac:2a:a0:85:f2,130.223.65.179,RO33ACAJ7712837015990648,2025-04-08 17:27:35,1918,61,319,1002885,9ad2fb68-7ac3-42dc-bf66-d8acd32e53e3
Valter Suciu,valtersuciu,valtersuciu@email.ro,2240327108106,1982-10-26,"Intrarea Dochioiu Nr. 302, Horodnic de Sus, 547502",0769 413 019,52:3e:99:8f:b3:d6,146.47.154.239,RO41MBQU0893850898982701,2025-04-08 17:27:35,19439,449,613,1491650,eb21b315-7055-4d71-ba07-852a3b3bd488
Celia Ioniță,celiaioniță,celiaioniță@post.ro,5351011070405,1954-12-15,"Aleea Leana Tomescu Nr. 889, Vicovu de Sus, 789741",0721 706 720,bc:fc:f1:df:9d:3e,103.214.194.51,RO42GYIM3928254281009473,2025-04-08 17:27:35,28350,959,370,1019625,404a65f7-db8d-49cb-9e72-e953e0509f0a
Georgiana Ene,georgianaene,georgianaene@acasa.ro,8250918173288,2001-01-08,"Strada Oana Dima Nr. 15 Bl. 31  Sc. 97 Ap. 469, Rovinari, 630463",0770 808 771,1a:40:67:73:f5:e8,182.130.53.30,RO32QPTL3424553721994422,2025-04-08 17:27:35,2851,869,66,785328,86ee45e4-e8bc-433e-b5b2-b1434d184f92
Letiția Stoica,letițiastoica,letițiastoica@email.ro,3710126233903,1993-03-28,"Bulevardul Barbu, Maieru, 344138",0785 000 452,8c:d0:e3:2d:c2:a7,187.67.176.74,RO83GIDS7267517160611120,2025-04-08 17:27:35,34112,605,669,1945032,3cd54820-75a2-4896-ab18-addf49a21b0b
Stancu Aanei,stancuaanei,stancuaanei@zzup.ro,8570115267053,1961-09-11,"Drumul Toma Nr. 13 Bl. 72  Sc. 31 Ap. 499, Rasnov, 284265",0259 041 033,72:57:74:13:a0:50,41.130.51.75,RO56WCJY4975847434609138,2025-04-08 17:27:35,30544,78,600,1932481,d684b269-d92f-4a41-8438-9920e98a5be9
Tudora Diaconu,tudoradiaconu,tudoradiaconu@gmail.com,7460517036898,2014-03-18,"Strada Ene, Chitila, 189742",0268 758 695,40:17:2a:48:8b:58,193.114.233.146,RO08CRNC4854572752132520,2025-04-08 17:27:35,9848,291,592,1051175,7d46671a-cc39-4dba-a8df-f36e8423fd47
Veniamin Diaconescu,veniamindiaconescu,veniamindiaconescu@email.ro,8981018512384,1935-10-03,"Drumul Mazilescu Nr. 705, Toplita, 758431",0741 326 989,aa:79:42:73:b3:ee,180.1.253.45,RO62QHTB5170103772959927,2025-04-08 17:27:35,20999,68,593,1599556,06be4651-bc96-437f-950f-d094de0924d4
Iustinian Stoica,iustinianstoica,iustinianstoica@zzup.ro,2641203153075,1966-10-20,"Drumul Florentina Stan Nr. 170, Harsova, 372065",0249 213 904,d4:3e:77:07:0f:18,99.162.142.134,RO86TOHN2997028064038554,2025-04-08 17:27:35,24017,36,2,1676397,9e5e608a-a88b-4ff3-bf20-425eddd7ad3d
Ianis Diaconescu,ianisdiaconescu,ianisdiaconescu@gmail.com,6060524246552,1929-03-29,"Drumul Diaconu Nr. 215, Giurgiu, 505104",0762 124 682,de:e2:c0:9b:29:d1,8.27.232.225,RO97XQJX7570704439399263,2025-04-08 17:27:35,15633,611,258,1555010,b8258607-917e-4205-a89b-e2a92b5216c9
Julieta Mocanu,julietamocanu,julietamocanu@acasa.ro,8650530464729,1962-01-21,"Soseaua Mazilescu Nr. 585 Bl. 75  Sc. 84 Ap. 268, Vicovu de Jos, 494517",0236 724 744,34:ed:90:b1:fb:51,83.75.127.74,RO79TABY4759567630018920,2025-04-08 17:27:35,1221,11,752,1467542,e09d060e-78c8-412b-9c14-bb8d059d16c5
Tudosia Georgescu,tudosiageorgescu,tudosiageorgescu@141.ro,6320821428832,1997-03-27,"Strada Voichița Dinu, Harlau, 323000",0755 763 634,00:c3:68:40:47:80,188.212.175.207,RO56RRSP0441903339589488,2025-04-08 17:27:35,8238,10,652,1962754,b56e23b4-bcd2-4b8f-862b-378018d36491
Matilda Stoica,matildastoica,matildastoica@141.ro,4001215183021,1944-08-27,"Intrarea Dobre Nr. 34, Lipova, 930940",0757 333 244,ea:53:6a:5a:be:8b,121.235.250.200,RO97WMMJ9174454205200551,2025-04-08 17:27:35,16137,24,255,1901109,03e73eb1-ca46-474f-aede-6a041f9b5cb8
Fabia Albu,fabiaalbu,fabiaalbu@email.ro,3701114253811,1950-01-08,"Strada Pop Nr. 40 Bl. 72  Sc. 43 Ap. 223, Gilau, 319361",0785 092 439,04:09:a5:77:62:c7,65.43.109.103,RO88ALIL8252316967565757,2025-04-08 17:27:35,22778,840,512,1516294,693456df-32a8-4c2b-9c24-74e99f05df61
Zenobia Florea,zenobiaflorea,zenobiaflorea@141.ro,2950424463751,1920-01-27,"Intrarea Tudor, Ruscova, 395903",0734 771 169,8e:3a:42:11:94:a5,141.56.20.208,RO07ESUY6578535901833759,2025-04-08 17:27:35,15414,275,139,1218927,44f8758f-f0d1-49c5-9498-0db5b6e6aea6
Eleonora Ardelean,eleonoraardelean,eleonoraardelean@acasa.ro,3780227109610,1916-01-13,"Bulevardul Popescu, Pecica, 646330",0721 053 449,54:06:b9:c8:54:9d,152.80.201.97,RO72BGCS9901395448234044,2025-04-08 17:27:35,876,786,240,143051,9013df9c-1ba5-4d61-a4ed-05095ea3d14c
Veronica Ardelean,veronicaardelean,veronicaardelean@141.ro,1440328514490,1912-02-04,"Drumul Popa, Oltenita, 559189",0731 649 669,98:5f:29:f9:20:11,85.58.228.193,RO16RRLA8990168966621094,2025-04-08 17:27:35,10146,948,563,1405638,bcd9c0ee-5ff4-4a0a-8c8a-83982aca57ba
Nora Dumitrescu,noradumitrescu,noradumitrescu@141.ro,1591114032671,1971-12-20,"Intrarea Florin Ene, Odorheiu Secuiesc, 556602",0765 108 468,54:2a:fd:c7:8f:31,117.116.61.144,RO24WCZT1119047641023634,2025-04-08 17:27:35,2403,659,381,1181964,770355ef-b024-46e8-ba5a-31389fbbf093
Romina Eftimie,rominaeftimie,rominaeftimie@acasa.ro,6991101284485,1917-12-17,"Drumul Diaconu Nr. 505, Pantelimon, 685831",0261 673 822,8c:04:e1:49:18:4a,211.180.171.187,RO89RTMZ2853004644076882,2025-04-08 17:27:35,34779,133,583,903755,327322d7-6850-45c8-b053-8b776be15b85
Georgian Popescu,georgianpopescu,georgianpopescu@141.ro,5440806036700,1912-02-11,"Soseaua Manole, Vaslui, 196486",0232 818 260,bc:04:b6:45:18:8e,148.245.249.203,RO72NKXT4610669571501767,2025-04-08 17:27:35,6934,501,650,1442780,eaca3172-dced-47b8-8087-ddb709df7740
Noemi Barbu,noemibarbu,noemibarbu@email.ro,7201209249513,1987-02-10,"Soseaua Crin Tabacu, Deva, 617091",0237 930 789,46:29:b6:b2:eb:c1,176.59.105.41,RO62DLHL1161458266453089,2025-04-08 17:27:35,11155,71,652,1417625,0a708c6b-6d0f-4ba0-be45-0573922a1428
Luana Florea,luanaflorea,luanaflorea@zzup.ro,7190918060680,1909-09-03,"Aleea Stancu, Sebes, 926072",0784 357 149,32:6d:29:4b:d7:c5,3.197.81.79,RO26XRPF2976826375867532,2025-04-08 17:27:35,34057,35,572,661675,ab812022-d300-4918-ac08-8f59409d7b47
Claudia Pușcașu,claudiapușcașu,claudiapușcașu@141.ro,7830320396393,1971-01-31,"Drumul Mugur Albu Nr. 56 Bl. 97  Sc. 38 Ap. 534, Dej, 350633",0751 672 401,c0:4c:cd:c2:c5:65,54.89.142.236,RO90UWBT5939274517376292,2025-04-08 17:27:35,30576,729,369,671142,79d5091d-1cde-4169-a869-faef5d855014
Barbu Voinea,barbuvoinea,barbuvoinea@zzup.ro,4701020130975,2023-07-25,"Aleea Tudor Nr. 34, Pucioasa, 964072",0722 832 769,82:9a:f7:ee:9c:dd,74.83.165.233,RO50GWUG1432300806852712,2025-04-08 17:27:35,30889,287,10,27642,b2278c95-6ebc-4cc4-930a-a42b7814f960
Eugen Ardelean,eugenardelean,eugenardelean@email.ro,6580705230156,1935-04-10,"Soseaua Diaconescu Nr. 518 Bl. 18  Sc. 81 Ap. 708, Sighetu Marmatiei, 480273",0711 141 224,bc:5c:20:2a:2d:6b,155.143.54.44,RO75DABA5894646236001085,2025-04-08 17:27:35,27880,868,168,484223,581f3bbb-6aea-4878-9193-7028aa80da0b
Emanuel Preda,emanuelpreda,emanuelpreda@141.ro,6600428248384,1919-12-08,"Drumul Diaconu Nr. 130, Cernavoda, 108473",0259 537 279,3c:9a:45:27:a4:29,163.39.13.91,RO48XMJR1301986035670668,2025-04-08 17:27:35,33630,246,686,1991388,d1dd0e10-5919-4c82-ad22-051f83a664a9
Corneliu Tudor,corneliutudor,corneliutudor@post.ro,5240322423078,2011-04-04,"Bulevardul Ene, Pucioasa, 122057",0754 730 447,36:af:5b:9d:3c:7e,121.58.107.188,RO96WHIM8100418839110191,2025-04-08 17:27:35,28795,8,439,1982543,494379d2-4806-417a-b85c-af2b886d1136
Petronela Dobre,petroneladobre,petroneladobre@gmail.com,6360912251301,1938-11-27,"Intrarea Dima Nr. 279, Filiasi, 799160",0256 518 270,ba:50:13:7e:cb:91,156.149.93.74,RO76SIWU0831239650291124,2025-04-08 17:27:35,19376,497,598,92934,337f694a-3ae3-408f-adaf-df27e8e7a07e
Oliviu Ene,oliviuene,oliviuene@141.ro,6040724275270,1947-12-11,"Aleea Nistor, Deta, 797892",0258 346 651,4a:34:41:1b:3a:ef,183.36.122.135,RO05XXWG6275972021237339,2025-04-08 17:27:35,8200,924,438,183687,9d29d520-ae97-48a7-9409-63207b6322b7
Hortensia Albu,hortensiaalbu,hortensiaalbu@gmail.com,7441031285673,1999-07-17,"Drumul Niță Nr. 633, Mihail Kogalniceanu, 557973",0731 488 583,24:5f:c0:fe:e9:b5,128.142.130.109,RO98LSWU2510960232088623,2025-04-08 17:27:35,19326,884,39,1586310,188b37e5-e561-47b5-b1bc-98082847333d
Mihnea Diaconescu,mihneadiaconescu,mihneadiaconescu@141.ro,3140805230244,1928-05-30,"Intrarea Pop Nr. 813, Radauti, 553566",0259 678 552,84:29:17:14:30:9d,186.16.92.251,RO83FGVZ2432850122782994,2025-04-08 17:27:35,6154,45,689,257839,506c2dbf-8658-4017-aa48-8159bbca4f21
Ștefana Dumitrescu,ștefanadumitrescu,ștefanadumitrescu@141.ro,5641221255787,1952-06-19,"Strada Cristea Nr. 85, Bumbesti-Jiu, 978785",0259 512 284,48:bd:96:43:fe:6a,148.227.84.146,RO74JIMW8419036814343189,2025-04-08 17:27:35,15443,91,278,1468866,d6383c19-4227-49e3-852f-608a6d7cac9e
Amza Cristea,amzacristea,amzacristea@email.ro,3770209181346,1953-04-01,"Soseaua Dima, Lupeni, 744489",0780 981 154,80:5e:8a:b9:99:ca,203.56.213.214,RO50KCXE8550613627490086,2025-04-08 17:27:35,33181,83,415,1623097,83f53e25-ed29-4794-9061-3affd4a89115
Timotei Mazilescu,timoteimazilescu,timoteimazilescu@gmail.com,3320101452356,1998-01-10,"Bulevardul Albu Nr. 65 Bl. 60  Sc. 17 Ap. 812, Bosanci, 914115",0784 790 707,f8:fa:a3:d8:18:94,206.105.89.159,RO80FYMK0051501826762871,2025-04-08 17:27:35,20889,828,789,1598015,adba8178-ab88-40f9-84cc-491217daf8d2
Romulus Dochioiu,romulusdochioiu,romulusdochioiu@zzup.ro,4840511248510,1945-05-26,"Intrarea Theodor Nistor Nr. 239 Bl. 79  Sc. 74 Ap. 927, Ovidiu, 405761",0256 576 816,3a:46:82:da:83:96,189.112.155.88,RO15LFOU3708119677022849,2025-04-08 17:27:35,21791,990,617,567607,33ee2c10-35c5-4804-94b6-92b033e00af4
Laura Dima,lauradima,lauradima@email.ro,1120531048786,1935-06-14,"Aleea Stancu Pușcașu Nr. 507 Bl. 34  Sc. 26 Ap. 234, Harlau, 824299",0252 635 021,b0:49:e5:85:6d:f9,132.166.50.242,RO37UVKI3139609478184823,2025-04-08 17:27:35,24910,736,791,4174,1d768af4-8298-4928-a223-adc750319a45
Severin Diaconescu,severindiaconescu,severindiaconescu@zzup.ro,1501110057476,1971-07-04,"Strada Georgescu Nr. 15 Bl. 95  Sc. 33 Ap. 551, Gura Humorului, 298838",0253 100 655,0e:8b:c8:bc:0f:0a,166.247.235.239,RO77GZWK1933347599327577,2025-04-08 17:27:35,30412,401,179,959236,4052e41f-eb16-476b-812c-da3b54e62200
Larisa Marin,larisamarin,larisamarin@kappa.ro,2771215286095,1951-09-05,"Bulevardul Stoica, Urziceni, 448143",0751 518 349,52:2d:90:49:f7:2b,19.200.231.27,RO93YGQJ6870438488392566,2025-04-08 17:27:35,17221,151,605,436949,a07c035b-e6aa-48ad-bf5a-d8d1b1d3d30f
Vicenția Nistor,vicențianistor,vicențianistor@acasa.ro,3110918453844,1974-05-29,"Strada Basarab Florea Nr. 913, Mihail Kogalniceanu, 199528",0732 057 299,02:74:89:0b:67:c6,185.141.13.39,RO38LKWK8738380639755134,2025-04-08 17:27:35,7631,67,306,148106,aa283c3d-f008-45e3-be8a-fb577d9fc476
Carla Florea,carlaflorea,carlaflorea@gmail.com,6910115323820,1916-08-30,"Intrarea Voinea, Rasinari, 804013",0767 551 641,d2:bc:fa:32:5f:2f,50.229.43.125,RO49BLTS8174940804185931,2025-04-08 17:27:35,3126,142,548,985499,2ecb240b-c9ce-44a9-bfc6-383e75a4d9e1
Lia Manole,liamanole,liamanole@post.ro,4780727308992,2014-02-10,"Aleea Nemeș Nr. 49, Urziceni, 265718",0788 175 423,fc:5c:9c:39:cd:b5,98.221.250.117,RO66GSXV6504726189355557,2025-04-08 17:27:35,21559,369,532,276039,d50cff12-4a22-4feb-af33-542f58890a67
Avram Oprea,avramoprea,avramoprea@post.ro,2410627034113,1960-12-05,"Drumul Tudor Nr. 290, Sfantu Gheorghe, 493131",0240 587 934,4e:c1:9d:ac:e6:fe,168.149.68.49,RO86XIFH4559318748508612,2025-04-08 17:27:35,7757,669,385,591321,cb1a34cd-0e65-4b20-81f4-8ea5cf7a23bf
Niculina Stoica,niculinastoica,niculinastoica@acasa.ro,6981214133115,1912-01-23,"Strada Nicu Tudor, Mioveni, 767664",0264 620 350,b2:ce:64:d2:23:98,145.172.73.170,RO97JGZT1305742166956825,2025-04-08 17:27:35,18232,111,9,1525389,9fad97da-06ec-4f64-9bf3-b483a516eae6
Damian Gheorghiu,damiangheorghiu,damiangheorghiu@email.ro,2240103284903,1942-08-12,"Intrarea Tudor Nr. 71 Bl. 56  Sc. 21 Ap. 351, Craiova, 930191",0254 513 572,f8:0f:03:f2:d2:a4,94.65.47.59,RO61SOJD8457823682858625,2025-04-08 17:27:35,4137,521,799,89092,0379aefb-567d-4cba-a76d-ba808371c4a7
Izabela Ababei,izabelaababei,izabelaababei@acasa.ro,1550830396780,1929-11-05,"Intrarea Voinea Nr. 919, Campina, 214750",0745 426 953,a8:3f:24:fb:23:45,154.60.175.117,RO09DUUO8147733311032329,2025-04-08 17:27:35,12826,923,27,196803,c0767cfa-67d8-4d77-b33b-861e8ab913e0
